Data,Giorno,Mese,Temperatura media,Temperatura minima,Temperatura massima,Punto di rugiada,Umidità media,Umidità minima,Umidità massima,Visibilità media,Velocità del vento media,Velocità massima del vento,Raffica,Pressione media sul livello del mare,Pressione media,Pioggia,Fenomeni,Condizione Meteo
2024-04-20,20,Aprile,12 °C,8 °C,17 °C,8 °C,82 %,55 %,100 %,20 km,12 km/h,24 km/h,-,1009 mb,-,n/d,Pioggia - Temporale,temporale e schiarite
2024-04-21,21,Aprile,,3 °C,17 °C,5 °C,71 %,31 %,100 %,20 km,10 km/h,22 km/h,-,1012 mb,-,-,Nessuno,poco nuvoloso
2024-04-22,22,Aprile,,7 °C,15 °C,8 °C,81 %,62 %,100 %,19 km,15 km/h,28 km/h,-,1008 mb,-,n/d,Pioggia - Temporale,temporale e schiarite
2024-04-23,23,Aprile,9 °C,7 °C,12 °C,7 °C,89 %,71 %,100 %,20 km,10 km/h,21 km/h,-,1006 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-24,24,Aprile,,8 °C,14 °C,7 °C,81 %,58 %,100 %,18 km,10 km/h,21 km/h,-,1006 mb,-,n/d,Pioggia - Temporale,poco nuvoloso
2024-04-25,25,Aprile,11 °C,7 °C,15 °C,8 °C,86 %,55 %,100 %,18 km,7 km/h,17 km/h,-,1008 mb,-,n/d,Pioggia - Temporale,nubi sparse
2024-04-26,26,Aprile,12 °C,7 °C,17 °C,9 °C,84 %,52 %,100 %,19 km,8 km/h,15 km/h,-,1011 mb,-,-,Nebbia,nubi sparse
2024-04-27,27,Aprile,13 °C,11 °C,16 °C,12 °C,90 %,77 %,100 %,20 km,15 km/h,26 km/h,-,1015 mb,-,n/d,Pioggia,pioggia e schiarite
2024-04-28,28,Aprile,17 °C,11 °C,23 °C,10 °C,67 %,38 %,100 %,20 km,13 km/h,24 km/h,-,1017 mb,-,-,Nessuno,poco nuvoloso
2024-04-29,29,Aprile,,11 °C,24 °C,12 °C,74 %,36 %,100 %,19 km,12 km/h,26 km/h,-,1018 mb,-,-,Nessuno,sereno
2024-04-30,30,Aprile,18 °C,11 °C,26 °C,12 °C,73 %,42 %,100 %,20 km,11 km/h,18 km/h,-,1015 mb,-,n/d,Pioggia,poco nuvoloso
