Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
"2024-03-01,7:45 AM,12캜,12캜,100 %,SE,6 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mist"
"2024-03-01,8:15 AM,12캜,12캜,100 %,ESE,7 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,8:45 AM,12캜,12캜,100 %,ESE,9 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,9:15 AM,12캜,12캜,100 %,ESE,7 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,9:45 AM,13캜,13캜,100 %,ESE,9 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,10:15 AM,13캜,13캜,100 %,SE,13 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,10:45 AM,13캜,13캜,100 %,SSE,9 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,11:15 AM,13캜,13캜,100 %,S,7 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,11:45 AM,13캜,13캜,100 %,S,4 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,12:15 PM,13캜,12캜,94 %,S,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,12:45 PM,13캜,12캜,94 %,S,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,1:15 PM,13캜,12캜,94 %,SSW,15 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,1:45 PM,13캜,12캜,94 %,S,7 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,2:15 PM,13캜,12캜,94 %,E,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,2:45 PM,13캜,12캜,94 %,E,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,3:15 PM,13캜,12캜,94 %,NNE,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,3:45 PM,13캜,12캜,94 %,ENE,6 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,4:15 PM,13캜,12캜,94 %,E,7 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,4:45 PM,13캜,12캜,94 %,E,7 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,5:15 PM,13캜,12캜,94 %,E,9 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,5:45 PM,12캜,12캜,100 %,E,9 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,6:15 PM,12캜,12캜,100 %,E,11 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-01,6:45 PM,13캜,12캜,94 %,E,13 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,7:15 PM,12캜,12캜,100 %,E,11 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,7:45 PM,12캜,12캜,100 %,E,11 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,8:15 PM,12캜,12캜,100 %,SSE,13 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Light Rain"
"2024-03-01,8:45 PM,12캜,12캜,100 %,E,15 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,9:15 PM,12캜,12캜,100 %,E,13 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,9:45 PM,12캜,12캜,100 %,E,11 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,10:15 PM,12캜,12캜,100 %,E,13 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,10:45 PM,12캜,12캜,100 %,E,17 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,11:15 PM,12캜,12캜,100 %,E,17 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-01,11:45 PM,12캜,12캜,100 %,NE,13 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,12:15 AM,12캜,12캜,100 %,NE,11 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,12:45 AM,12캜,12캜,100 %,NNE,7 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,1:15 AM,12캜,12캜,100 %,NE,6 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,1:45 AM,12캜,12캜,100 %,NNE,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,2:15 AM,12캜,12캜,100 %,NE,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,3:15 AM,12캜,12캜,100 %,WNW,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,3:45 AM,12캜,12캜,100 %,WNW,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,4:15 AM,12캜,12캜,100 %,WNW,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,4:45 AM,12캜,12캜,100 %,W,4 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,5:15 AM,12캜,12캜,100 %,NNE,6 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,5:45 AM,12캜,12캜,100 %,NE,7 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,6:15 AM,11캜,11캜,100 %,NE,6 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,6:45 AM,11캜,11캜,100 %,E,4 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,7:15 AM,11캜,11캜,100 %,ESE,9 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,7:45 AM,11캜,11캜,100 %,E,4 km/h,0 km/h,""1,007.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,8:15 AM,11캜,10캜,94 %,SSE,4 km/h,0 km/h,""1,007.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,8:45 AM,13캜,12캜,94 %,SW,7 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,9:15 AM,13캜,12캜,94 %,W,7 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,9:45 AM,14캜,11캜,82 %,WSW,17 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,10:15 AM,14캜,10캜,77 %,W,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,10:45 AM,15캜,11캜,77 %,W,20 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,11:15 AM,14캜,10캜,77 %,W,22 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,11:45 AM,13캜,12캜,94 %,SW,15 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,12:15 PM,13캜,12캜,94 %,WSW,9 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,12:45 PM,14캜,12캜,88 %,W,19 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Light Rain"
"2024-03-02,1:15 PM,13캜,12캜,94 %,WSW,13 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,1:45 PM,14캜,12캜,88 %,W,19 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,2:15 PM,15캜,12캜,82 %,WSW,19 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,2:45 PM,14캜,12캜,88 %,W,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-02,3:15 PM,15캜,11캜,77 %,W,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,3:45 PM,15캜,12캜,82 %,W,22 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,4:15 PM,15캜,12캜,82 %,W,20 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,4:45 PM,15캜,11캜,77 %,W,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,5:15 PM,14캜,11캜,82 %,W,13 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,5:45 PM,13캜,10캜,82 %,WNW,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,6:15 PM,13캜,11캜,88 %,NNE,4 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,6:45 PM,12캜,11캜,94 %,E,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,7:15 PM,12캜,11캜,94 %,ENE,7 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,7:45 PM,11캜,10캜,94 %,ENE,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-02,8:15 PM,12캜,11캜,94 %,E,7 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,8:45 PM,11캜,11캜,100 %,E,9 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,9:15 PM,11캜,11캜,100 %,E,11 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,9:45 PM,11캜,11캜,100 %,ENE,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,10:15 PM,10캜,10캜,100 %,E,11 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,10:45 PM,10캜,10캜,100 %,ESE,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,11:15 PM,10캜,10캜,100 %,E,19 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-02,11:45 PM,11캜,11캜,100 %,E,11 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,12:15 AM,11캜,11캜,100 %,E,11 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,12:45 AM,11캜,9캜,88 %,E,13 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,1:15 AM,11캜,9캜,88 %,E,15 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,1:45 AM,11캜,9캜,88 %,E,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,2:15 AM,11캜,9캜,88 %,E,17 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-03,2:45 AM,10캜,9캜,94 %,E,17 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Fair"
"2024-03-03,3:15 AM,10캜,9캜,94 %,E,19 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Fair"
"2024-03-03,3:45 AM,11캜,10캜,94 %,E,13 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,4:15 AM,11캜,8캜,82 %,E,9 km/h,0 km/h,""1,008.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,4:45 AM,11캜,9캜,88 %,E,15 km/h,0 km/h,""1,007.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,5:15 AM,11캜,9캜,88 %,E,15 km/h,0 km/h,""1,007.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,5:45 AM,11캜,9캜,88 %,E,20 km/h,0 km/h,""1,007.28 hPa"",0.0 mm,Fair"
"2024-03-03,6:15 AM,11캜,9캜,88 %,ESE,20 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Fair"
"2024-03-03,6:45 AM,11캜,8캜,82 %,ENE,22 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Fair"
"2024-03-03,7:15 AM,11캜,8캜,82 %,E,17 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,7:45 AM,11캜,8캜,82 %,E,19 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,8:15 AM,12캜,9캜,82 %,E,17 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,8:45 AM,12캜,9캜,82 %,E,17 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,9:15 AM,12캜,8캜,77 %,E,17 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,9:45 AM,13캜,9캜,77 %,E,22 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,10:15 AM,13캜,9캜,77 %,E,22 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,10:45 AM,13캜,9캜,77 %,ESE,20 km/h,0 km/h,""1,006.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,11:15 AM,13캜,9캜,77 %,E,22 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,11:45 AM,13캜,9캜,77 %,ESE,20 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,12:15 PM,13캜,9캜,77 %,E,19 km/h,0 km/h,""1,005.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,12:45 PM,14캜,9캜,72 %,E,20 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,1:15 PM,14캜,10캜,77 %,ESE,13 km/h,0 km/h,""1,004.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,1:45 PM,14캜,9캜,72 %,E,19 km/h,0 km/h,""1,003.29 hPa"",0.0 mm,Partly Cloudy"
"2024-03-03,2:15 PM,14캜,9캜,72 %,E,20 km/h,0 km/h,""1,002.29 hPa"",0.0 mm,Light Rain"
"2024-03-03,2:45 PM,13캜,10캜,82 %,E,26 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Light Rain"
"2024-03-03,3:15 PM,14캜,9캜,72 %,E,30 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,3:45 PM,14캜,9캜,72 %,E,30 km/h,0 km/h,""1,000.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,4:15 PM,14캜,9캜,72 %,E,28 km/h,0 km/h,""1,000.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,4:45 PM,13캜,11캜,88 %,ESE,24 km/h,0 km/h,""1,000.29 hPa"",0.0 mm,Light Rain"
2024-03-03,5:15 PM,13캜,11캜,88 %,E,19 km/h,0 km/h,999.29 hPa,0.0 mm,Mostly Cloudy
2024-03-03,5:45 PM,13캜,11캜,88 %,E,26 km/h,0 km/h,999.29 hPa,0.0 mm,Thunder in the Vicinity
"2024-03-03,6:15 PM,12캜,10캜,88 %,S,33 km/h,52 km/h,""1,000.29 hPa"",0.0 mm,Light Rain with Thunder"
"2024-03-03,6:45 PM,10캜,9캜,94 %,S,13 km/h,0 km/h,""1,000.29 hPa"",0.0 mm,Light Rain with Thunder"
"2024-03-03,7:15 PM,10캜,9캜,94 %,E,15 km/h,0 km/h,""1,000.29 hPa"",0.0 mm,Rain"
"2024-03-03,7:45 PM,10캜,10캜,100 %,E,11 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Rain"
"2024-03-03,8:15 PM,10캜,10캜,100 %,E,15 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Rain"
"2024-03-03,8:45 PM,10캜,10캜,100 %,E,19 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Light Rain"
"2024-03-03,9:15 PM,10캜,10캜,100 %,E,19 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Light Rain"
"2024-03-03,9:45 PM,10캜,9캜,94 %,E,15 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,10:15 PM,10캜,8캜,87 %,E,19 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,10:45 PM,10캜,8캜,87 %,E,22 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,11:15 PM,9캜,8캜,93 %,E,20 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-03,11:45 PM,9캜,8캜,93 %,E,26 km/h,0 km/h,""1,001.29 hPa"",0.0 mm,Mostly Cloudy"
2024-03-04,12:15 AM,48 째F,46 째F,93 %,E,14 mph,0 mph,29.57 in,0.0 in,Mostly Cloudy
2024-03-04,12:45 AM,48 째F,45 째F,87 %,E,14 mph,0 mph,29.57 in,0.0 in,Mostly Cloudy
2024-03-04,1:15 AM,48 째F,45 째F,87 %,E,14 mph,0 mph,29.57 in,0.0 in,Mostly Cloudy
2024-03-04,1:45 AM,48 째F,46 째F,93 %,E,13 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,2:15 AM,48 째F,45 째F,87 %,SSE,2 mph,0 mph,29.60 in,0.0 in,Light Rain
2024-03-04,2:45 AM,48 째F,45 째F,87 %,E,7 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,3:15 AM,48 째F,46 째F,93 %,E,5 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,3:45 AM,48 째F,45 째F,87 %,ENE,6 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,4:15 AM,48 째F,45 째F,87 %,ENE,6 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,4:45 AM,48 째F,45 째F,87 %,E,5 mph,0 mph,29.60 in,0.0 in,Mostly Cloudy
2024-03-04,5:15 AM,50 째F,45 째F,82 %,E,12 mph,0 mph,29.60 in,0.0 in,Partly Cloudy
2024-03-04,5:45 AM,50 째F,45 째F,82 %,E,10 mph,0 mph,29.60 in,0.0 in,Partly Cloudy
2024-03-04,6:15 AM,48 째F,45 째F,87 %,E,12 mph,0 mph,29.60 in,0.0 in,Fair
2024-03-04,6:45 AM,48 째F,45 째F,87 %,E,12 mph,0 mph,29.60 in,0.0 in,Partly Cloudy
2024-03-04,7:15 AM,48 째F,45 째F,87 %,E,6 mph,0 mph,29.63 in,0.0 in,Partly Cloudy
2024-03-04,7:45 AM,48 째F,45 째F,87 %,E,6 mph,0 mph,29.63 in,0.0 in,Partly Cloudy
2024-03-04,8:15 AM,50 째F,46 째F,87 %,ESE,3 mph,0 mph,29.63 in,0.0 in,Mostly Cloudy
2024-03-04,8:45 AM,50 째F,46 째F,87 %,NE,7 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
2024-03-04,9:15 AM,52 째F,46 째F,82 %,NE,8 mph,0 mph,29.66 in,0.0 in,Mostly Cloudy
2024-03-04,9:45 AM,52 째F,45 째F,76 %,NE,5 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,10:15 AM,54 째F,46 째F,77 %,ESE,8 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,10:45 AM,54 째F,46 째F,77 %,ESE,12 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,11:15 AM,54 째F,46 째F,77 %,ESE,10 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,11:45 AM,54 째F,48 째F,82 %,SE,8 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,12:15 PM,55 째F,48 째F,77 %,SE,8 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,12:45 PM,55 째F,46 째F,72 %,SSE,6 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,1:15 PM,55 째F,46 째F,72 %,S,3 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,1:45 PM,57 째F,50 째F,77 %,WNW,7 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,2:15 PM,55 째F,48 째F,77 %,WNW,6 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,2:45 PM,55 째F,48 째F,77 %,WSW,5 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,3:15 PM,57 째F,48 째F,72 %,W,9 mph,0 mph,29.69 in,0.0 in,Fair
2024-03-04,3:45 PM,55 째F,48 째F,77 %,W,3 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,4:15 PM,55 째F,48 째F,77 %,W,9 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,4:45 PM,54 째F,48 째F,82 %,WNW,8 mph,0 mph,29.69 in,0.0 in,Mostly Cloudy
2024-03-04,5:15 PM,54 째F,48 째F,82 %,WNW,6 mph,0 mph,29.72 in,0.0 in,Mostly Cloudy
"2024-03-05,12:15 AM,11캜,10캜,94 %,VAR,4 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Mostly Cloudy"
"2024-03-05,12:45 AM,10캜,10캜,100 %,SSE,9 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,1:15 AM,9캜,9캜,100 %,SE,7 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Shallow Fog"
"2024-03-05,1:45 AM,9캜,9캜,100 %,SE,7 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Shallow Fog"
"2024-03-05,2:15 AM,9캜,8캜,93 %,VAR,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,2:45 AM,9캜,8캜,93 %,VAR,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,3:15 AM,8캜,8캜,100 %,VAR,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,3:45 AM,8캜,8캜,100 %,VAR,6 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,4:15 AM,8캜,8캜,100 %,VAR,4 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,4:45 AM,7캜,7캜,100 %,VAR,4 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,5:15 AM,7캜,7캜,100 %,VAR,2 km/h,0 km/h,""1,009.28 hPa"",0.0 mm,Fair"
"2024-03-05,5:45 AM,7캜,7캜,100 %,VAR,2 km/h,0 km/h,""1,010.28 hPa"",0.0 mm,Fair"
"2024-03-05,6:15 AM,7캜,7캜,100 %,VAR,2 km/h,0 km/h,""1,010.28 hPa"",0.0 mm,Fair"
"2024-03-05,6:45 AM,7캜,7캜,100 %,VAR,2 km/h,0 km/h,""1,010.28 hPa"",0.0 mm,Shallow Fog"
"2024-03-05,7:15 AM,6캜,6캜,100 %,SE,7 km/h,0 km/h,""1,010.28 hPa"",0.0 mm,Shallow Fog"
"2024-03-05,7:45 AM,7캜,7캜,100 %,E,6 km/h,0 km/h,""1,010.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,8:15 AM,9캜,9캜,100 %,ESE,9 km/h,0 km/h,""1,011.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,8:45 AM,10캜,10캜,100 %,ESE,7 km/h,0 km/h,""1,011.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,9:15 AM,11캜,11캜,100 %,ESE,6 km/h,0 km/h,""1,011.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,9:45 AM,13캜,12캜,94 %,ESE,9 km/h,0 km/h,""1,011.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,10:15 AM,13캜,12캜,94 %,ESE,7 km/h,0 km/h,""1,011.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,10:45 AM,14캜,12캜,88 %,W,6 km/h,0 km/h,""1,012.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,11:15 AM,14캜,11캜,82 %,SW,7 km/h,0 km/h,""1,012.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,11:45 AM,14캜,10캜,77 %,W,17 km/h,0 km/h,""1,012.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,12:15 PM,14캜,10캜,77 %,W,19 km/h,0 km/h,""1,012.28 hPa"",0.0 mm,Partly Cloudy"
"2024-03-05,12:45 PM,15캜,10캜,72 %,W,19 km/h,0 km/h,""1,012.28 hPa"",0.0 mm,Partly Cloudy"
