Date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2024-05-01,2:15 PM,16 °C,15 °C,94 %,ENE,11 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,2:45 PM,16 °C,15 °C,94 %,E,6 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,3:15 PM,16 °C,16 °C,100 %,ESE,7 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Rain
2024-05-01,3:45 PM,16 °C,16 °C,100 %,E,11 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Rain
2024-05-01,4:15 PM,16 °C,16 °C,100 %,E,11 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Rain
2024-05-01,4:45 PM,15 °C,15 °C,100 %,ESE,7 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Rain
2024-05-01,5:15 PM,16 °C,16 °C,100 %,SSE,6 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Rain
2024-05-01,5:45 PM,16 °C,16 °C,100 %,SE,6 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,6:15 PM,16 °C,16 °C,100 %,SE,6 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,6:45 PM,16 °C,16 °C,100 %,VAR,4 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,7:15 PM,15 °C,15 °C,100 %,VAR,4 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,7:45 PM,15 °C,15 °C,100 %,VAR,6 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain
2024-05-01,8:15 PM,15 °C,15 °C,100 %,VAR,6 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,8:45 PM,15 °C,15 °C,100 %,VAR,6 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-01,9:15 PM,15 °C,15 °C,100 %,VAR,4 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Partly Cloudy
2024-05-01,9:45 PM,14 °C,14 °C,100 %,WSW,7 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Partly Cloudy
2024-05-01,10:15 PM,14 °C,14 °C,100 %,SW,7 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Partly Cloudy
2024-05-01,10:45 PM,14 °C,14 °C,100 %,N,4 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-01,11:15 PM,18 °C,15 °C,83 %,NE,6 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Light Rain
2024-05-01,11:45 PM,16 °C,15 °C,94 %,ESE,7 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Mostly Cloudy
2024-05-02,12:15 AM,14 °C,14 °C,100 %,VAR,4 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,12:45 AM,14 °C,14 °C,100 %,SSW,7 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain
2024-05-02,1:15 AM,14 °C,14 °C,100 %,SSE,13 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Rain
2024-05-02,1:45 AM,14 °C,14 °C,100 %,E,9 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-02,2:15 AM,14 °C,14 °C,100 %,E,9 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Mostly Cloudy
2024-05-02,2:45 AM,14 °C,14 °C,100 %,E,13 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,3:15 AM,14 °C,14 °C,100 %,E,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,3:45 AM,14 °C,14 °C,100 %,E,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,4:15 AM,14 °C,14 °C,100 %,ESE,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Fair
2024-05-02,4:45 AM,14 °C,14 °C,100 %,ESE,13 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,5:15 AM,14 °C,14 °C,100 %,ESE,13 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,5:45 AM,14 °C,14 °C,100 %,ESE,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,6:15 AM,14 °C,14 °C,100 %,ESE,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,6:45 AM,14 °C,14 °C,100 %,ESE,15 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,7:15 AM,16 °C,15 °C,94 %,ESE,15 km/h,0 km/h,"1,004.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,7:45 AM,15 °C,15 °C,100 %,SE,17 km/h,0 km/h,"1,004.28 hPa",0.0 mm,Light Rain
2024-05-02,8:15 AM,16 °C,15 °C,94 %,SSE,17 km/h,0 km/h,"1,004.28 hPa",0.0 mm,Light Rain
2024-05-02,8:45 AM,16 °C,14 °C,88 %,SSE,13 km/h,0 km/h,"1,004.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,9:15 AM,13 °C,12 °C,94 %,W,28 km/h,0 km/h,"1,005.28 hPa",0.0 mm,Light Rain with Thunder
2024-05-02,9:45 AM,13 °C,13 °C,100 %,WSW,15 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain with Thunder
2024-05-02,10:15 AM,13 °C,13 °C,100 %,W,13 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain
2024-05-02,10:45 AM,14 °C,13 °C,94 %,VAR,4 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Mostly Cloudy
2024-05-02,11:15 AM,15 °C,14 °C,94 %,N,7 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain
2024-05-02,11:45 AM,14 °C,13 °C,94 %,NNW,9 km/h,0 km/h,"1,006.28 hPa",0.0 mm,Light Rain
2024-05-02,12:15 PM,13 °C,13 °C,100 %,WSW,7 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,12:45 PM,13 °C,13 °C,100 %,WSW,28 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,1:15 PM,13 °C,13 °C,100 %,WSW,22 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,1:45 PM,15 °C,13 °C,88 %,WSW,19 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,2:15 PM,16 °C,11 °C,72 %,WSW,20 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,2:45 PM,15 °C,12 °C,82 %,WSW,28 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,3:15 PM,14 °C,10 °C,77 %,WSW,26 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,3:45 PM,14 °C,10 °C,77 %,W,22 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,4:15 PM,14 °C,11 °C,82 %,WSW,20 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,4:45 PM,14 °C,10 °C,77 %,WSW,22 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Mostly Cloudy
2024-05-02,5:15 PM,14 °C,11 °C,82 %,W,17 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,5:45 PM,14 °C,11 °C,82 %,WSW,17 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,6:15 PM,13 °C,10 °C,82 %,WSW,26 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain
2024-05-02,6:45 PM,12 °C,11 °C,94 %,WSW,35 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Light Rain / Windy
2024-05-02,7:15 PM,12 °C,11 °C,94 %,WSW,20 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-02,7:45 PM,12 °C,12 °C,100 %,SW,13 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-02,8:15 PM,12 °C,12 °C,100 %,S,11 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-02,8:45 PM,12 °C,11 °C,94 %,ESE,13 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-02,9:15 PM,11 °C,11 °C,100 %,E,15 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-02,9:45 PM,11 °C,11 °C,100 %,E,15 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-02,10:15 PM,11 °C,11 °C,100 %,ESE,17 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-02,10:45 PM,11 °C,11 °C,100 %,ESE,20 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-02,11:15 PM,14 °C,14 °C,100 %,VAR,4 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Partly Cloudy
2024-05-02,11:45 PM,14 °C,14 °C,100 %,ESE,4 km/h,0 km/h,"1,007.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,12:15 AM,11 °C,11 °C,100 %,E,15 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-03,12:45 AM,11 °C,11 °C,100 %,E,15 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,1:15 AM,11 °C,11 °C,100 %,E,17 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-03,1:45 AM,11 °C,11 °C,100 %,E,15 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-03,2:15 AM,11 °C,11 °C,100 %,E,19 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-03,2:45 AM,11 °C,11 °C,100 %,E,19 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Light Rain
2024-05-03,3:15 AM,11 °C,11 °C,100 %,E,13 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,3:45 AM,11 °C,10 °C,94 %,E,13 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,4:15 AM,10 °C,10 °C,100 %,E,13 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,4:45 AM,10 °C,10 °C,100 %,ESE,9 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Fair
2024-05-03,5:15 AM,10 °C,10 °C,100 %,E,7 km/h,0 km/h,"1,008.28 hPa",0.0 mm,Fair
2024-05-03,5:45 AM,10 °C,10 °C,100 %,WNW,4 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Fair
2024-05-03,6:15 AM,10 °C,10 °C,100 %,VAR,2 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Fair
2024-05-03,6:45 AM,10 °C,10 °C,100 %,W,6 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,7:15 AM,11 °C,11 °C,100 %,SE,4 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,7:45 AM,12 °C,12 °C,100 %,SSW,4 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,8:15 AM,13 °C,11 °C,88 %,NE,2 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,8:45 AM,14 °C,12 °C,88 %,S,9 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,9:15 AM,15 °C,13 °C,88 %,S,4 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Fair
2024-05-03,9:45 AM,14 °C,11 °C,82 %,SW,9 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,10:15 AM,14 °C,11 °C,82 %,WNW,7 km/h,0 km/h,"1,010.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,10:45 AM,15 °C,12 °C,82 %,W,15 km/h,0 km/h,"1,011.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,11:15 AM,16 °C,12 °C,77 %,W,19 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,11:45 AM,15 °C,11 °C,77 %,W,17 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,12:15 PM,15 °C,10 °C,72 %,W,20 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,12:45 PM,16 °C,11 °C,72 %,W,19 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,1:15 PM,16 °C,11 °C,72 %,WSW,19 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,1:45 PM,16 °C,11 °C,72 %,W,20 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,2:15 PM,16 °C,11 °C,72 %,WSW,26 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,2:45 PM,16 °C,11 °C,72 %,WSW,30 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,3:15 PM,16 °C,12 °C,77 %,W,26 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,3:45 PM,16 °C,12 °C,77 %,W,28 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,4:15 PM,16 °C,12 °C,77 %,SW,24 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,4:45 PM,15 °C,10 °C,72 %,W,22 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,5:15 PM,16 °C,11 °C,72 %,WSW,22 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Fair
2024-05-03,5:45 PM,16 °C,11 °C,72 %,WSW,20 km/h,0 km/h,"1,012.28 hPa",0.0 mm,Fair
2024-05-03,6:15 PM,16 °C,12 °C,77 %,SW,22 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,6:45 PM,15 °C,12 °C,82 %,WSW,19 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Mostly Cloudy
2024-05-03,7:15 PM,14 °C,12 °C,88 %,W,13 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,7:45 PM,14 °C,12 °C,88 %,WSW,13 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,8:15 PM,14 °C,12 °C,88 %,WSW,13 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,8:45 PM,14 °C,13 °C,94 %,W,13 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,9:15 PM,14 °C,12 °C,88 %,W,11 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,9:45 PM,14 °C,12 °C,88 %,W,17 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,10:15 PM,14 °C,11 °C,82 %,W,13 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,10:45 PM,14 °C,11 °C,82 %,WSW,11 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-03,11:15 PM,11 °C,11 °C,100 %,ESE,17 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-03,11:45 PM,11 °C,11 °C,100 %,SE,15 km/h,0 km/h,"1,009.28 hPa",0.0 mm,Light Rain
2024-05-04,12:15 AM,14 °C,12 °C,88 %,W,17 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,12:45 AM,14 °C,12 °C,88 %,W,13 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,1:15 AM,14 °C,13 °C,94 %,SW,7 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,1:45 AM,14 °C,13 °C,94 %,SW,9 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,2:15 AM,13 °C,12 °C,94 %,SW,7 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,2:45 AM,13 °C,12 °C,94 %,WSW,9 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,3:15 AM,13 °C,12 °C,94 %,VAR,4 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,3:45 AM,14 °C,13 °C,94 %,ESE,6 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,4:15 AM,14 °C,13 °C,94 %,SE,4 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,4:45 AM,13 °C,13 °C,100 %,SE,9 km/h,0 km/h,"1,013.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,5:15 AM,12 °C,12 °C,100 %,SE,7 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,5:45 AM,13 °C,13 °C,100 %,E,9 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,6:15 AM,13 °C,13 °C,100 %,ESE,9 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,6:45 AM,14 °C,14 °C,100 %,E,13 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,7:15 AM,14 °C,13 °C,94 %,E,9 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,7:45 AM,15 °C,14 °C,94 %,SE,9 km/h,0 km/h,"1,015.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,8:15 AM,15 °C,14 °C,94 %,S,13 km/h,0 km/h,"1,015.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,8:45 AM,16 °C,13 °C,82 %,SW,15 km/h,0 km/h,"1,015.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,9:15 AM,16 °C,13 °C,82 %,SW,19 km/h,0 km/h,"1,015.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,9:45 AM,16 °C,13 °C,82 %,SSW,22 km/h,0 km/h,"1,015.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,10:15 AM,17 °C,12 °C,72 %,SSW,26 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,10:45 AM,18 °C,13 °C,73 %,SSW,22 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,11:15 AM,19 °C,13 °C,68 %,SSW,22 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,11:45 AM,19 °C,13 °C,68 %,SSW,22 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,12:15 PM,19 °C,13 °C,68 %,SSW,24 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,12:45 PM,19 °C,13 °C,68 %,SSW,20 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,1:15 PM,19 °C,14 °C,73 %,SSW,17 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,1:45 PM,19 °C,15 °C,78 %,SSW,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,2:15 PM,19 °C,15 °C,78 %,SW,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,2:45 PM,19 °C,15 °C,78 %,SW,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,3:15 PM,18 °C,15 °C,83 %,SW,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,3:45 PM,18 °C,15 °C,83 %,WSW,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,4:15 PM,17 °C,14 °C,82 %,WSW,17 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,4:45 PM,17 °C,15 °C,88 %,WSW,17 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,5:15 PM,17 °C,15 °C,88 %,W,15 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,5:45 PM,16 °C,15 °C,94 %,W,17 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,6:15 PM,16 °C,14 °C,88 %,WSW,17 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Mostly Cloudy
2024-05-04,6:45 PM,16 °C,15 °C,94 %,W,19 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,7:15 PM,15 °C,14 °C,94 %,SW,7 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Fair
2024-05-04,7:45 PM,15 °C,14 °C,94 %,WSW,9 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Fair
2024-05-04,8:15 PM,15 °C,14 °C,94 %,W,7 km/h,0 km/h,"1,016.28 hPa",0.0 mm,Fair
2024-05-04,8:45 PM,14 °C,14 °C,100 %,WSW,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-04,9:15 PM,14 °C,13 °C,94 %,WNW,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-04,9:45 PM,13 °C,13 °C,100 %,WSW,9 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-04,10:15 PM,13 °C,13 °C,100 %,SW,6 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-04,10:45 PM,12 °C,12 °C,100 %,SW,7 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-04,11:15 PM,14 °C,12 °C,88 %,W,13 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-04,11:45 PM,14 °C,12 °C,88 %,W,13 km/h,0 km/h,"1,014.28 hPa",0.0 mm,Partly Cloudy
2024-05-05,12:15 AM,12 °C,12 °C,100 %,SE,6 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-05,12:45 AM,12 °C,12 °C,100 %,S,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-05,1:15 AM,12 °C,12 °C,100 %,SSE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Shallow Fog
2024-05-05,1:45 AM,11 °C,11 °C,100 %,SE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-05,2:15 AM,11 °C,11 °C,100 %,ESE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-05,2:45 AM,11 °C,11 °C,100 %,ESE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Fair
2024-05-05,3:15 AM,11 °C,11 °C,100 %,ESE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Partly Cloudy
2024-05-05,3:45 AM,11 °C,11 °C,100 %,ESE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Mostly Cloudy
2024-05-05,4:15 AM,11 °C,11 °C,100 %,ESE,4 km/h,0 km/h,"1,017.28 hPa",0.0 mm,Mostly Cloudy
